,Company Name,Job Description,Job Title,Location,Salary
7213,"


    Ipsos North America
","
Be part of our team that plans studies, executes fieldwork, analyzes data and delivers reports to clients. The ideal candidate is a business-minded individual...","
Bilingual Senior Research Analyst (English/Mandarin)
",Detroit,
7214,"


    BuzzFeed
","
We have offices in 19 cities around the world and more than 1500 employees including reporters, video producers, data scientists, engineers, brand strategists,...","
Sr. Client Services Manager (Detroit)
",Detroit,
7215,"

    nFolks Ltd
","
Job Description Hi All, Very Good morning, I have a urgent position & Client is looking for consultant for this Role. Please share the Resume, if you are...","
Data Scientist- Analytics Expert
",Detroit,
7216,"

    Wayne County Community College District
","
Conduct longitudinal data analysis to determine trends that support decision-making. The position assists the office of institutional effectiveness in...","
Research and Assessment Data Analyst
",Detroit,
7217,"


    JD Power and Associates
","
Our scientists, Ph.D. Experience with questionnaire design, field execution, analysis planning, data interpretation, and reporting required SPSS and Excel...","
Research Manager
",Detroit,
7218,"


    J.D. Power
","
Our scientists, Ph.D. Experience with questionnaire design, field execution, analysis planning, data interpretation, and reporting required....","
Research Manager
",Detroit,
7219,"


    Trinity Health
","
Manage the work of data scientists, user experience engineers and development team to develop and design products to meet the defined outcomes....","
Product Manager
",Detroit,
7221,"


    Jacobs
","
The contractor shall provide written and verbal reports and briefings required to support ESPI mission. All briefings and positional correspondence shall be","
Operations Research Analyst
",Detroit,
7222,"


    Altair Engineering
","
Altair ProductDesign is a global, multi-disciplinary product development consultancy of more than 700 designers, engineers, scientists, and creative thinkers....","
Product Design - Design Quality Liaison 3
",Detroit,
7223,"


    Blue Cross Blue Shield of Michigan
","
Identify potential problems through data information review, analyze and investigation from massive data files....","
Sr. Bio-Statistician
",Detroit,
7224,"


    Ford Motor Company
","
This is a dynamic and challenging opportunity to apply the latest tools and methods in Big Data and Data Science to a variety of business problems at Ford....","
Marketing Data Scientist – Intelligent Customer Interactions
",Detroit,
7225,"


    Ipsos North America
","
Find new spins on data visualization, attend and learn at the presentation stage. The ideal candidate is a business-minded individual who is interested in and...","
Loyalty - Research Analyst (Entry-Level)
",Detroit,
7228,"


    Ipsos North America
","
Love data, consumer decision-making, and puzzles. Would you like to work with a team of passionate problem-solvers dedicated to bringing research insights and...","
Market Research Analyst - Analyst Development Program
",Detroit,
7229,"


    A123 Systems
","
Perform daily testing, process output data and construct a report of results. Proficiency in data analysis and experimental design utilizing Minitab and/or...","
Lithium Iron Phosphate (LFP) Scientist
",Detroit,
7230,"

    St. John Providence, MI
","
Keyboarding and data entry experience preferred. Assists with data collection or special projects as assigned....","
Lab Technician 1 / St John Mac Office Bldg / Spec Testing /...
",Detroit,
7231,"


    Ford Motor Company
","
The Data Operations analyst discovers and curates new and existing data sources (external data providers, public data, social media, digital exhaust,...","
Data Operations Analyst - Autonomous Vehicles
",Detroit,
7232,"


    Quicken Loans Inc.
","
If data is the vehicle that unlocks new frontiers of business capability in the Information Age, Data Scientists are the drivers....","
Data Scientist
",Detroit,
7233,"


    Ford Motor Company
","
Ford is seeking a Data Scientist to join our team. Work with various data sources and platforms (PC, Mainframe, Unix/Linux, Teradata) to gather data....","
Data Scientist - Forecasting
",Detroit,
7234,"

    NBI Resources
","
Our core team of Computer scientists and Data Engineers have a passion for building tools that solve our clients most challenging and complex technical problems...","
Sr. Software Developer
",Detroit,
7235,"


    Flagstar Bank
","
The Senior Quantitative Financial Analyst is a key member of the Treasury team, advancing Flagstar’s understanding of its customers, balance sheet, and risk","
Sr Quantitative Financial Analyst
",Detroit,
7236,"


    Ipsos North America
","
You love playing with data. Ensure that research is implemented in an appropriate and cost-effective manner and that data is turned into actionable information...","
Loyalty - Project Manager
",Detroit,
7237,"


    Eaton
","
Eaton, located in Southfield MI, has an opening for a Data Scientist - Power System Analytics, in the Corporate Research & Technology organization....","
Data Scientist - Power System Analytics
",Detroit,
7238,"


    JD Power and Associates
","
Our scientists, Ph.D. Present data and findings). Outstanding analytical/problem solving and data analysis skills (ability to see the story through the data)....","
Sr. Director - Automotive Consulting
",Detroit,
7239,"


    DTE Energy
","
Senior Business Financial Analyst - Accounting Policy & Research - 09174 The future is bright at DTE Energy! We are the largest electric and gas utility in","
Senior Business Financial Analyst - Accounting Policy & Rese...
",Detroit,
7240,"

    NBI Resources
","
Our core team of Computer scientists and Data Engineers have a passion for building tools that solve our clients most challenging and complex technical problems...","
Software Developer
",Detroit,
7241,"


    Fast Switch
","
Minimum of 3 years of experience in data design, data architecture and data modeling (both transactional and analytic)....","
Business Analysis/Reengineering Consultant/Expert 40140
",Detroit,
7242,"


    General Motors
","
Experience with analyzing source system data and data flows, and working with structured and unstructured data. O Data management using SQL....","
Data Scientist - INF0019551
",Detroit,
7243,"


    Ford Motor Company
","
Data Security, Data Governance, etc.). Metrics include data access, data standards, data issues, data quality, etc. Ensure DSC data source planning and...","
Data Governance Supervisor
",Detroit,
7244,"

    Title Source, Inc.
","
Drive the collection of new data and the refinement of existing data sources for deep statistical analysis and data modeling....","
Statistical Analyst Data Modeler
",Detroit,
7245,"


    Fast Switch
","
Continuously increase Data Coverage by working closely with the Data Scientists, understanding and evaluating their data requirements and delivering the data...","
Data Scientists Analysts 40215
",Detroit,
7246,"


    The E.W. Scripps Company
","
Wide Orbit, Matrix Plus, One Domain, CMR, Scarborough, Neilson Advantage and data systems. Excellent ability to analyze and interpret data from a variety of...","
Research Analyst
",Detroit,
7247,"


    J.D. Power
","
Our scientists, Ph.D. Present data and findings). Outstanding analytical/problem solving and data analysis skills (ability to see the story through the data)....","
Sr. Director - Automotive Consulting
",Detroit,
7248,"

    Aquasight
","
We are looking to add Data Scientist. Proficient across data analytics value chain, especially real-time streaming data analytics....","
Data Scientist
",Detroit,
7249,"

    STG
","
Data Scientists Analysts. STG has opening for Data Scientists Analysts. Data discovery, access, transformation, and management....","
Data Scientists Analysts
",Detroit,
7250,"


    Ford Motor Company
","
Familiar with database concept and data quality assurance. 1+ years of modeling methodologies, including economics, econometrics, statistics, data mining....","
Statistical Modeling Supervisor
",Detroit,
7251,"


    Ford Motor Company
","
Candidate will work in a big data environment, applying advanced analytics techniques to on-road vehicle data, and generating insights from joining vehicle data...","
Data Scientist - Connected Vehicle Analytics
",Detroit,
7252,"


    ASG Renaissance
","
The Visual Data Scientist & Data analyst positions discover and curate new and existing data sources to create solutions for the business....","
Visual Data Scientist & Data Analyst
",Detroit,
7253,"


    Trinity Health
","
Collaborates with members of various TIS teams, including Advanced Analytics, Data Warehouse Data Governance, and Clinical etc., to provide them with the...","
Data Scientist
",Detroit,
7254,"

    Optimal CAE, Inc
","
Minimum of 3 years of experience in data design, data architecture and data modeling (both transactional and analytic)....","
Data Scientist Analyst
",Detroit,
7255,"


    ASG Renaissance
","
Develop data processes scripts Perform data analysis with existing and newly developed scripts. Experience processing large data sets....","
Data Scientists Analyst
",Detroit,
7256,"


    Ipsos North America
","
You love playing with data. The ideal candidate is a business-minded individual who is interested in and intrigued by integrating data and research into...","
Bilingual Project Manager (English/Mandarin)
",Detroit,
7257,"

    Pharmaceutical CMO
","
Assess data provided by Process Development, Analytical Development and Quality Assurance departments and determine if any additional information is required in...","
Director of Operations
",Detroit,
7258,"

    Powerley
","
Powerley is looking for an experienced data scientist with strong statistical and predictive modelling capabilities paired with business strategy skills....","
Data Scientist
",Detroit,
7259,"

    Ezra Penland Actuarial Recruitment
","
For Position 76265, an insurance company seeks a Personal Lines Data Scientist with 3 to 12 years of experience. Or Master’s degree ideal....","
Personal Lines Data Scientist #76265
",Detroit,
7260,"

    St. John Providence, MI
","
One year of clinical laboratory experienece as an ASCP certified scientist preferred. Assists with development and revisions of laboratory policies and...","
Medical Technologist 1 / Prov Southfield Hosp / Gen Lab / PT...
",Detroit,
7261,"


    Fast Switch
","
A data analytics role including running queries, compiling data, and manipulating data from separate sources to form unified sets for analysis....","
Data Scientists Modeling 39698
",Detroit,
7263,"


    JD Power and Associates
","
Our scientists, Ph.D. Experience working with customer experience programs and data. J.D....","
P&C Insurance Practice Director
",Detroit,
7265,"

    St. John Providence, MI
","
One year of clinical laboratory experienece as an ASCP certified scientist preferred. Assists with development and revisions of laboratory policies and...","
Medical Technologist 1 / St John Macomb Hosp / General Lab /...
",Detroit,
7266,"

    Incodel
","
Job duties: Conduct market trend research and analysis for INCODEL international markets in relation to engine/casting parts and related components; Perform","
Engine/Casting Parts International Marketing Research Analys...
",Detroit,
7268,"


    Bartech Group
","
Data Ops Analyst. Will support the data requirements of the Data Scientists who are using analytics to achieve business outcomes including insights to...","
Data Ops Analyst
",Detroit,
7270,"


    Fast Switch
","
Will be Pulling data on their own and will have to work with the Engineering Groups to identify data issues and concerns with product....","
Statistical Modeler/Data Analyst 2 39886
",Detroit,
7272,"


    J.D. Power
","
Our scientists, Ph.D. Present data and findings). Outstanding analytical/problem solving and data analysis skills (ability to see the story through the data)....","
Automotive Data Analyst
",Detroit,
7273,"

    St. John Providence, MI
","
One year of clinical laboratory experienece as an ASCP certified scientist preferred. Assists with development and revisions of laboratory policies and...","
Medical Technologist 1 / St John Hospital & Medical Center /...
",Detroit,
7274,"


    MSX International
","
Will support the data requirements of the data scientists who are using analytics to achieve business outcomes....","
Data Ops Analyst
",Detroit,
7275,"

    St. John Providence, MI
","
One year of clinical laboratory experienece as an ASCP certified scientist preferred. Assists with development and revisions of laboratory policies and...","
Medical Technologist 1/St John Macomb Hospital/PRN Nights
",Detroit,
7276,"


    JD Power and Associates
","
Our scientists, Ph.D. Data Analyst, Automotive Consulting. Outstanding analytical/problem solving and data analysis skills (ability to see the story through the...","
Automotive Data Analyst
",Detroit,
7277,"

    Systems Technology Group Inc. (STG)
","
Data Scientists Analysts Description:. STG has opening for Data Scientists Analysts. First and Last Name – Data Scientists Analysts....","
Data Scientists Analysts
",Detroit,
7278,"


    RGBSI
","
Work with various data sources and platforms (e.g., PC, Hadoop, Teradata) to gather data. Company's Global Data, Insight, and Analytics (GDIA) organization is...","
Data Scientists Analysts
",Detroit,
7279,"

    HBM nCode
","
The individual will be part of a team and will work closely with senior engineers, data analysts, data scientists, and customers on a regular basis to complete...","
Engineering Analyst
",Detroit,
7281,"

    Magna Corporate
","
Correlate experimental data to simulation data. Create and execute Test Matrix & P/DFMEA documents – performs analysis of result data to draw conclusions and...","
Senior Staff/Research Engineer – ADAS Electronics, Connectiv...
",Detroit,
7282,"


    Diverse Lynx
","
Experience processing large amounts of structured and unstructured data. Deep knowledge in data mining, machine learning, natural language processing, or...","
Data Scientist
",Detroit,
7284,"

    St. John Providence, MI
","
One year of clinical laboratory experienece as an ASCP certified scientist preferred. Assists with development and revisions of laboratory policies and...","
Medical Technologist 1 / St John Macomb Hospital / General L...
",Detroit,
7285,"

    Epitec, Inc.
","
Global Data Insight Analytics Team Position The Analytic Data Scientist creates solutions for the business by recommending ways to bring data to life to solve...","
Data Scientist
",Detroit,
7286,"


    Fast Switch
","
Global Data Insight Analytics Team Position The Analytic Data Scientist creates solutions for the business by recommending ways to bring data to life to solve...","
Process and Methodology Senior 39188
",Detroit,
7287,"

    St. John Providence, MI
","
One year of clinical laboratory experienece as an ASCP certified scientist preferred. Assists with development and revisions of laboratory policies and...","
Medical Technologist 1 / St John Hospital and Med Cen / Gene...
",Detroit,
7288,"

    St. John Providence, MI
","
One year of clinical laboratory experienece as an ASCP certified scientist preferred. Assists with development and revisions of laboratory policies and...","
Medical Technologist 1/StJohnHospital&MedCen/FT Nights *May...
",Detroit,
7291,"

    St. John Providence, MI
","
One year of clinical laboratory experienece as an ASCP certified scientist preferred. Assists with development and revisions of laboratory policies and...","
Medical Technologist 1 / St John Hosp & Med Cen / Lab Microb...
",Detroit,
7292,"

    St. John Providence, MI
","
Medical Laboratory Scientist One of the following is required:. One year of clinical laboratory experienece as an ASCP certified scientist preferred....","
Medical Technologist 1 / St. John Hospital & Med. Cen. - 340...
",Detroit,
7293,"

    St. John Providence, MI
","
One year of clinical laboratory experienece as an ASCP certified scientist preferred. Assists with development and revisions of laboratory policies and...","
Medical Technologist 1 / St John Macomb Township / General L...
",Detroit,
7294,"


    BASF Corporation
","
Develop the necessary knowledge of the equipment and procedures to provide expertise to internal and external customers.• Generate and collect application data...","
Lab Technician - Resins and Dispersions
",Detroit,
7297,"

    St. John Providence, MI
","
Keyboarding and data entry experience preferred. Assists with data collection or special projects as assigned....","
Lab Technician 1 / St John Hosp & Med Cen / General Lab / FT...
",Detroit,
7306,"

    St. John Providence, MI
","
Keyboarding and data entry experience preferred. Assists with data collection or special projects as assigned....","
Lab Technician 1 / St John Hospital & Med Cen / Lab Patholog...
",Detroit,
7311,"

    St. John Providence, MI
","
One year of clinical laboratory experienece as an ASCP certified scientist preferred. Assists with development and revisions of laboratory policies and...","
Medical Technologist 1/St John Oakland Hospital/ FT Nights *...
",Detroit,
8059,"

    Sunnova Energy Corporation
","
Conduct on-going communication with data owners to improve data integrity. Eagerness to take ownership of business operations data and responsibly review data....","
Quantitative Analyst
",Houston,
8060,"


    SYSCO
","
Data acquisition, cleansing and manipulation; Perform data mining, cleansing, and manipulation; Identify necessary data elements and their sources, leverage...","
Data Scientist, Revenue Management
",Houston,
8061,"


    Halliburton
","
Design and develop, with assistance from others, data models which incorporate historical and forward looking causal data for use with forecasting algorithms....","
Statistician
",Houston,
8062,"


    Tessella
","
This role is targeted to an accomplished, experienced data scientist / analytics expert who has a strong and proven record of designing and implementing custom...","
Senior Oil & Gas Analytics Consultant
",Houston,
8063,"


    McKinsey & Company
","
As one of the fastest-growing parts of our firm, New Ventures has more than 1,000 dedicated professionals (including more than 800 analysts and data scientists)...","
Analyst - Marketing Analytics
",Houston,
8064,"


    Houston Methodist
","
Analyzes data and interprets data. Functions as independent scientist and may be allocated space, resources, and other operational support within TMHRI....","
Scientist
",Houston,
8065,"


    MD Anderson Cancer Center
","
Assist Computational Scientist, Program Manager and Data Coordinators to organize, cleanse and prepare data for loading....","
Data Analyst- Immunology
",Houston,"$42,400 - $63,600 a year"
8066,"


    Baker Hughes Incorporated
","
Primary role may involve the development of techniques and analysis tools for the interpretation of measurement data from downhole sensors, specifically those...","
Research and Development Engineer – Applied Science
",Houston,
8067,"


    MD Anderson Cancer Center
","
Works closely with clinical scientists to understand data processing challenges and provide custom solutions for sequencing, gene expression, proteomics,...","
Computational Scientist
",Houston,"$76,400 - $114,600 a year"
8068,"


    MD Anderson Cancer Center
","
Work with research and bioinformatics teams to utilize internal biological and oncogenomic data sets to generate and test biological hypotheses....","
Institute Research Scientist - Center for Co-Clinical Trials
",Houston,"$95,000 - $142,000 a year"
8071,"


    MD Anderson Cancer Center
","
S/he will be proficient in in vivo experimentation, including standard methods of tumor implantation and dosing, proper handling of small molecule drugs or...","
Institute Associate Scientist II - In Vivo Pharmacology
",Houston,"$46,500 - $83,000 a year"
8072,"


    Halliburton
","
Job Details US Houston: Statistician US Houston: Statistician Date: May 12, 2017 Location: Houston, TX, US,","
US Houston: Statistician
",Houston,
8073,"


    Accenture
","
Employees are encouraged and expected to build their expertise as data scientists, and deploy analytics to business problems....","
Data Science Cross Industry Lead
",Houston,
8074,"


    alliantgroup
","
Analyzes and interprets data. Will analyze and interpret data from various sources. LP....","
Statistician
",Houston,
8075,"


    Houston Methodist
","
To provide advanced technical research skills and establish test methods and procedures under the direction of Department Chairperson or Research Scientist...","
Research Associate I
",Houston,
8076,"


    Halliburton
","
Scientist - PhD (Full-time)*. Familiarity with basic Data Science Methods. Carry out case studies using models validated against the theoretical and field data....","
Senior Scientist - PhD
",Houston,
8078,"

    American Citihome Group
","
Collecting and analysis base data for big data analysis; Cooperate with data scientist, verify and implement data models to realize automatic and accurate fraud...","
Principle Engineer, Big Data
",Houston,
8079,"

    Elite Business Solutions
","
This person will work closely with other senior research scientists, engineers, and technical directors to assist with assay development, project design and...","
Research Scientist / Post-doctoral Scientist
",Houston,
8080,"


    Invesco
","
Lead Data Scientist, Disruptive Technologies. Experience with data visualization tools. Perform explanatory data analysis, generate and test working hypotheses,...","
Lead Data Scientist
",Houston,
8081,"


    Objectwin Technology Inc
","
Computational Scientist (494015)*. Works closely with clinical scientists to understand data processing challenges and provide custom solutions for sequencing,...","
Needed: Computational Scientist (494015) - Houston TX 77030
",Houston,
8082,"


    Lonza
","
Ability to interpret and summarize complex scientific data and communicate in an accurate and concise manner....","
Process Development Cell Therapy Lead
",Houston,
8083,"

    CROMSOURCE - Talent Source
","
Biomedical Scientist Laboratory Technician*.  Communicate the results obtained as per data entry requirements....","
Biomedical Scientist
",Houston,
8084,"

    Vinformax Systems Inc
","
Data Understanding ¿ Data Characteristics and Catalog Management platform skills (Ontologies, ERD, Repos). Data preparation ¿ Exposure to Data Cleansing Tools...","
Machine Learning Engineer
",Houston,
8085,"


    YES Prep Public Schools
","
Collaborate with dashboard/report designers and data scientists to define the necessary data sources, data elements, transformations, and structures....","
Business Intelligence Architect
",Houston,
8087,"


    MD Anderson Cancer Center
","
Compiles data sheets. Utilizes institutional and departmental databases to perform data retrieval for analysis....","
Research Scientist - Dr. Kapil N. Bhalla's Laboratory
",Houston,
8088,"


    Universities Space Research Association
","
Lead development of data requirements for the EVA Data Integration Platform and participate in data architecture design discussions....","
Data Software Engineer II
",Houston,
8089,"


    AIG
","
Position Summary AIG Investments’ Private Credit Group invests on behalf of AIG’s Consumer and Commercial insurance companies. The Group’s portfolio totals","
Investment Analyst Credit Research - Infrastructure
",Houston,
8090,"


    YES Prep Public Schools
","
Collaborate with dashboard/report designers and data scientists to define the necessary data sources, data elements, transformations, and structures....","
Business Intelligence Architect (IMMEDIATE OPENING)
",Houston,
8091,"


    MD Anderson Cancer Center
","
In our laboratories, clinicians and basic scientists work together to advance the frontier of cancer and heart disease research that will benefit our patients...","
Research Scientist - Cardiology Research
",Houston,
8092,"

    The Methodist Hospital Research Institute
","
Successful candidate will have many opportunities to collaborate with fantastic wet-bench biologists and physician scientists in translational biomedical...","
Bioinformatics Postdoc
",Houston,
8093,"


    MD Anderson Cancer Center
","
Utilize image analysis system and/or microscope to analyze data and examine results. To maintain good, detailed experimental records, evaluate resulting...","
Research Scientist - Thoracic H&N Med Oncology - Research
",Houston,"$51,600 - $77,400 a year"
8094,"


    Grocers Supply
","
As a Lead Data Scientist , you will be deliver analytics and algorithms pertaining to driving sales and profitability through retail pricing....","
Lead Data Scientist- Retail Pricing
",Houston,
8095,"


    Life Time Fitness
","
Experience tracking statistical data for basketball games. Life Time is currently seeking a qualified Ultimate Hoops Statistician....","
Ultimate Hoops Statistician
",Houston,
8096,"


    MD Anderson Cancer Center
","
Assesses relevant literature as well as existing data, evaluates the quality of data used in reports and assists with preparation and distribution of data for...","
Research Statistical Analyst - Biostatistics
",Houston,"$66,400 - $99,600 a year"
8097,"


    MD Anderson Cancer Center
","
Assesses relevant literature as well as existing data, evaluates the quality of data used in reports and assists with preparation and distribution of data for...","
Research Statistical Analyst
",Houston,"$66,400 - $99,600 a year"
8098,"


    Universities Space Research Association
","
Software and data stores:. Participate in and review data modeling activities. Demonstrable proficiency with programming languages and data formats:....","
EVA Software Engineer III
",Houston,
8099,"


    Waste Management
","
Senior Data Scientist. Applied experience working with large-scale data sets in an advanced data mining analytic role....","
Senior Data Scientist
",Houston,
8100,"

    Sunnova Energy Corporation
","
The Position Sunnova seeks a Business Development Analyst to support the business development and strategic initiatives of the company. The Business","
Business Development/ Market Research Analyst
",Houston,
8101,"


    Houston Methodist
","
And compiling data for Manager as requested. Assists with managing personnel utilization, motivation, and productivity to assure timely and accurate reporting...","
Medical Technology Coordinator
",Houston,
8102,"


    Houston Methodist
","
Daily data retrieval and entry utilizing a computer. Bachelor¿s degree in Medical Technology also requires ASCP-MT or Clinical Scientist (CS);...","
Infection Preventionist
",Houston,
8103,,"
Data Scientist - SQL, R, Python, Azure - Houston, TXA new role has become available for a Data Scientist to be based in Houston, TX....","
Data Scientist - SQL, R, Python, Azure
",Houston,"$60,000 - $180,000 a year"
8106,"


    Golder Associates
","
Assist with environmental investigations, collect environmental data, prepare technical reports, and complete permit applications and other regulatory documents...","
Environmental Engineer/Scientist Intern Job
",Houston,
8110,"


    Crown Castle
","
Review multiple data sources to extract and report on relevant data. Perform data audits using database queries or excel spreadsheets....","
Temporary Research Analyst - GIS
",Houston,
8111,"


    MD Anderson Cancer Center
","
Analyze data and prepare written and oral reports to project teams. Participate in an integrated drug discovery research team by engaging in interaction with...","
Institute Assoc Scientist III - Neurodegeneration Consort
",Houston,"$62,500 - $94,000 a year"
8112,"


    MD Anderson Cancer Center
","
Analyzing data conversion needs. Working with users on the sharing of data, category lists, etc. On an as needed basis, he/she performs in-depth analyses of...","
Assoc .EHR Application Analyst (Epic) - Oncology Care & Rese...
",Houston,
8113,"


    MD Anderson Cancer Center
","
Assist Senior Research Scientist in performing biological and chemical assays. Compile/process research data and submit results to superiors for inclusion in...","
Research Asst II
",Houston,
8115,"


    Rice University
","
The Research Analyst will assist with the development of research questions, data collection as needed, data analysis, and writing and presenting research...","
Research Analyst
",Houston,
8116,"

    Energy Resourcing Americas, Inc
","
Analyze and provide data for surveys, benchmarking, bankers, legal actions, etc. The *Power & Raw Materials Analyst*....","
Senior Analyst-Finance and Market Research-Olefins
",Houston,
8117,"


    Just Energy
","
Structuring Quantitative Analyst - (1700071) Description Structuring Quantitative Analyst Location: Houston, Texas Your Opportunity: The Structuring","
Structuring Quantitative Analyst
",Houston,
8119,"


    Wood Mackenzie
","
Experience with at least one common data science toolkit like R or Python is preferred. Reviewing, prioritizing and analyzing the data and information to...","
Research Analyst, US Upstream Research
",Houston,
8121,"


    Houston Methodist
","
Under the direction of the Department Administrator this position is responsible for all aspects of pre-award grant management for the department. This","
Financial Analyst - Grants Research
",Houston,
8122,"


    Cyberonics
","
Demonstrated expertise in a manufacturing environment providing expertise for Statistical Process Control (SPC) or standard control charts, Design of...","
Quality Statistician
",Houston,
8123,"


    alliantgroup
","
Assist in analysis and manipulation of client data (both financial and industry-specific). , you will work in a team environment alongside some of the best in...","
Legal Consultant
",Houston,
8124,"


    Triad Resources
","
Conduct Empirical statistical analysis / modeling on relevant data used in drilling controls. Machine Learning & Drilling Dynamics Modeling Specialist....","
Machine Learning & Drilling Dynamics Modeling Specialist
",Houston,
8125,"


    CenterPoint Energy
","
Logistics Data Scientist. Senior Logistics Data Scientist. The Logistics Data Scientist is the main driver for analytics around planning the flow of materials...","
Logistics Data Scientist
",Houston,
8126,"


    UT Health Science Center at Houston
","
The University of Texas Health Science Center at Houston - McGovern Medical School invites applicants for one casual Staff Scientist position in the Department...","
Staff Scientist - Pediatrics, Neurology
",Houston,
8127,"


    Rice University
","
The analyst will collect data on vaccination rates for measles and other diseases in Texas and globally, work with collaborators to enter data into predictive...","
Research Analyst (Temporary)
",Houston,
8128,"


    UT Health Science Center at Houston
","
Advanced analysis of neuroimaging data. The Department of Neurology at McGovern Medical School is recruiting for a research scientist with neuroscience...","
Assistant/Associate Professor or Professor - Neurology (Rese...
",Houston,
8129,"


    Baylor College of Medicine
","
This individual will support NASA’s Human Research Program (HRP) Exploration Medical Capability (ExMC) Element as Deputy Element Scientist (DES) at the Johnson...","
Assistant Professor
",Houston,
8130,"


    MD Anderson Cancer Center
","
Analyze and manipulate research data; Maintain current and accurate records of research data; Prepare and present data for publication or scientific meetings;...","
Clinical Research Scientist - Sarcoma Medical Oncology Rsch
",Houston,
8131,"


    MD Anderson Cancer Center
","
Research scientists to design experiments involving genetically modified T. Computer skills including the ability to enter data obtained....","
Senior Research Assistant - Neurosurgery Research
",Houston,"$38,000 - $57,000 a year"
8133,"


    Vertex
","
Groundwater monitoring, data collection and analysis; Assignments under the direction of more experienced scientists and technical employees....","
Environmental Project Manager
",Houston,
8134,"


    MD Anderson Cancer Center
","
Data used in reports and assists with preparation and distribution of data for. Measurement and analysis of data....","
Research Statistical Analyst -Bioinformatics & Computational...
",Houston,"$66,400 - $99,600 a year"
8135,"

    Genialis
","
Hands-on experience with NGS data analysis. We aim to empower life scientists to engage with their data, and to liberate bioinformaticians from rote service...","
Bioinformatics Software Developer
",Houston,"$50,000 - $80,000 a year"
8136,"

    Aramco Services Company
","
The successful applicant will develop component-level designs with input from team scientists, including PCB layout, test and debug of prototype electronics,...","
Engineering Specialist (338921)
",Houston,
8138,"


    alliantgroup
","
Enhance current software for archiving, management, and manipulation of client data and internal data using Java, MySQL and C++....","
Java Programmer
",Houston,
8139,"


    Jacobs
","
The Image Data Scientist will:. Our long-term client relationship with NASA has led to a need for an Image Data Scientist....","
Image Data Scientist
",Houston,
8140,"


    Enterprise Products
","
QA/QC oversight of operational data collected for use in ESS. The Environmental Scientist will work in the EHS&T Environmental group....","
Scientist, Environmental
",Houston,
8141,"


    Blinds.com
","
Devise and evaluate methods and procedures for collecting data, own several digital advertising channels, and use technical, marketing and analytical skills to...","
Market Research Analyst (Digital Marketing Specialist)
",Houston,
8142,"


    alliantgroup
","
Assist in analysis and manipulation of client data (both financial and industry-specific). , you will work in a team environment alongside some of the best in...","
Economics Consultant
",Houston,
8143,"


    KBI Biopharma
","
This individual may oversee the work of development associates, while working cooperatively with other scientists, staff and management....","
Analytical Cell Biologist #3
",Houston,
8147,"


    alliantgroup
","
Assist in the research & analysis of client data. As a Consultant, you will work in a team environment alongside some of the best in the business including...","
Engineering Consultant
",Houston,
8148,"


    Chevron Stations Inc.
","
The Ecotoxicologist/Environmental Scientist position provides environmental risk assessment and environmental impact assessment expertise to Chevron’s...","
Environmental Toxicologist
",Houston,
8149,"


    Clearpoint
","
Conduct empirical statistical analysis/modeling on relevant data controls. The Machine Learning Dynamics Modeling Specialist will work on new algorithms and...","
Machine Learning Dynamics Modeling Specialist
",Houston,
8150,"


    ERM
","
Recent grad to 2 years of field experience conducting biological data collection and GPS data collection,. Experience recording/writing detailed technical data...","
Junior Environmental Scientist (Houston)
",Houston,
8151,"


    Addison Group
","
Extensive knowledge and deep understanding of admixture, algorithms, data structures, scientific process, bioinformatics and biostatistics, and file formats...","
Bioinformatics Technical Scientist
",Houston,
8152,"

    Vertisystem
","
Data base knowledge. Minimum 5-7 years analyzing data. Excellent analytical skills- ability to work with large data sets from multiple sources....","
Data Scientist
",Houston,
8154,"


    Texas Department of Public Safety
","
Forensic Scientist I-III. Ability to present scientific data and the results of analysis to a lay jury in an understandable manner....","
Forensic Scientist I-III (DNA Analysis), LES - Houston
",Houston,"$3,616 - $4,933 a month"
8155,"


    Texas Children's Hospital
","
Medical Laboratory Scientist (MLS)/ Medical Technologist (MT). In this position, you will perform routine and special procedures to obtain data or prepare...","
Medical Technologist - Immunology General - Clinical Care Ce...
",Houston,
8156,"


    Rice University
","
The Research Scientist will provide basic instruction, when necessary to:. At the faculty’s request the Research Scientist provides brief demonstrations to...","
Research Scientist
",Houston,"$40,800 - $79,100 a year"
8158,"


    Texas Department of Public Safety
","
Forensic Scientist I-III. Ability to present scientific data and the results of analyses in a objective manner to a lay jury in an understandable manner....","
Forensic Scientist I-III (Drug Analysis), LES-Houston
",Houston,"$3,616 - $4,933 a month"
8159,"


    Murray Resources
","
Experience gathering, analyzing reporting, and utilizing market and customer data. Collects, reviews, analyzes and manage data to evaluate existing and...","
Market Research Analyst- Level 2
",Houston,"$60,000 - $65,000 a year"
8160,"


    Frost & Sullivan
","
Excellent data analysis capabilities with tools such as Excel, Access and/or SPSS is required. Extracting data from internal and external sources such as...","
Senior Research Analyst in Houston, TX
",Houston,
8162,"

    Baylor Miraca Genetics Laboratories LLC
","
Clinical Genomics Scientist. Experience with data quality assessment. The ability to create scripts and process data....","
Clinical Laboratory Analyst
",Houston,
8163,"


    Preferred Sands
","
Analyze data and prepare technical reports for management. Experience in trouble shooting processes/equipment, show a data driven approach to problem solving...","
Research Scientist
",Houston,
